Run,Pe,FER
1,0.08,0.0009765625
2,0.08,0.0009765625
3,0.08,0.0009765625
4,0.08,0.0
5,0.08,0.0009765625
6,0.08,0.001953125
7,0.08,0.001953125
8,0.08,0.0009765625
9,0.08,0.001953125
10,0.08,0.0009765625
11,0.08,0.0
12,0.08,0.0
13,0.08,0.0
14,0.08,0.0
15,0.08,0.0009765625
16,0.08,0.0009765625
17,0.08,0.0009765625
18,0.08,0.0009765625
19,0.08,0.001953125
20,0.08,0.0009765625
1,0.08,0.0009765625
2,0.08,0.0
3,0.08,0.001953125
4,0.08,0.0
5,0.08,0.001953125
6,0.08,0.0
7,0.08,0.0009765625
8,0.08,0.0009765625
9,0.08,0.0
10,0.08,0.0
11,0.08,0.0009765625
12,0.08,0.0009765625
13,0.08,0.0009765625
14,0.08,0.0
15,0.08,0.0009765625
16,0.08,0.0009765625
17,0.08,0.0009765625
18,0.08,0.0
19,0.08,0.00390625
20,0.08,0.0029296875
21,0.08,0.001953125
22,0.08,0.0009765625
23,0.08,0.00390625
24,0.08,0.0009765625
25,0.08,0.0029296875
26,0.08,0.0009765625
27,0.08,0.001953125
28,0.08,0.0
29,0.08,0.0
30,0.08,0.0009765625
1,0.08,0.0029296875
2,0.08,0.001953125
3,0.08,0.0
4,0.08,0.0029296875
5,0.08,0.0029296875
6,0.08,0.0029296875
7,0.08,0.001953125
8,0.08,0.0
9,0.08,0.0009765625
10,0.08,0.0029296875
11,0.08,0.0009765625
12,0.08,0.001953125
13,0.08,0.0009765625
14,0.08,0.0
15,0.08,0.0009765625
16,0.08,0.0009765625
17,0.08,0.0
18,0.08,0.0
19,0.08,0.0
20,0.08,0.0009765625
21,0.08,0.0009765625
22,0.08,0.0
23,0.08,0.001953125
24,0.08,0.0009765625
25,0.08,0.001953125
26,0.08,0.0
27,0.08,0.001953125
28,0.08,0.0009765625
29,0.08,0.0
30,0.08,0.00390625
31,0.08,0.0
32,0.08,0.0009765625
33,0.08,0.0
34,0.08,0.001953125
35,0.08,0.0029296875
36,0.08,0.0009765625
37,0.08,0.0
38,0.08,0.001953125
39,0.08,0.0
40,0.08,0.0009765625
41,0.08,0.0
42,0.08,0.0029296875
43,0.08,0.0029296875
44,0.08,0.001953125
45,0.08,0.001953125
46,0.08,0.0009765625
47,0.08,0.001953125
48,0.08,0.0029296875
49,0.08,0.0009765625
50,0.08,0.0009765625
