The following result corresponding the input file : input_file_q_ary_2013.txt
  SNR                         BER 
3                 0.240188
3.4                 0.231937
3.8                 0.221563
4.2                 0.210958
4.6                 0.205854
5                 0.187833
5.4                 0.180562
5.8                 0.168521
6.2                 0.153676
6.6                 0.139543
7                 0.103973
7.4                 0.0630908
7.8                 0.0297783
8.2                 0.00956527
8.6                 0.00214149
9                 0.000360363
9.4                 5.4755e-005
9.8                 3.78018e-006
