The following result corresponding the input file : input_file_q_ary_2013.txt
  SNR                         FER 
3                 1
3.4                 1
3.8                 1
4.2                 1
4.6                 1
5                 1
5.4                 1
5.8                 1
6.2                 0.980392
6.6                 0.961538
7                 0.775194
7.4                 0.497512
7.8                 0.229358
8.2                 0.0773994
8.6                 0.0172325
9                 0.00291792
9.4                 0.000432846
9.8                 3.07071e-005
