The following result corresponding the input file : input_file_q_ary_2013.txt
  SNR                         SER 
3                 0.604917
3.4                 0.582167
3.8                 0.563167
4.2                 0.53425
4.6                 0.518833
5                 0.480583
5.4                 0.461667
5.8                 0.441083
6.2                 0.398284
6.6                 0.364824
7                 0.270543
7.4                 0.165257
7.8                 0.078211
8.2                 0.0248775
8.6                 0.00562353
9                 0.000935679
9.4                 0.000141432
9.8                 9.97982e-006
