The following result corresponding the input file : input_file_q_ary_2013.txt
  SNR                         BER 
6                 0.225476
6.25                 0.216376
6.5                 0.212566
6.75                 0.205238
7                 0.19881
7.25                 0.196931
7.5                 0.188042
7.75                 0.186296
8                 0.179894
8.25                 0.173545
8.5                 0.170317
8.75                 0.163466
9                 0.156561
9.25                 0.15119
9.5                 0.146561
9.75                 0.143651
10                 0.136905
10.25                 0.136772
10.5                 0.129286
10.75                 0.122134
11                 0.116612
11.25                 0.109059
11.5                 0.0965275
11.75                 0.0831388
12                 0.0765608
12.25                 0.0595778
12.5                 0.0431112
12.75                 0.0416576
13                 0.0310169
13.25                 0.0242805
13.5                 0.0144506
13.75                 0.00999981
14                 0.0069822
14.25                 0.00339889
14.5                 0.00139314
14.75                 0.00065559
15                 0.00016841
15.25                 5.38367e-005
15.5                 1.15548e-005
