The following result corresponding the input file : input_file_q_ary_2013.txt
  SNR                         FER 
6                 1
6.25                 1
6.5                 1
6.75                 1
7                 1
7.25                 1
7.5                 1
7.75                 1
8                 1
8.25                 1
8.5                 1
8.75                 1
9                 1
9.25                 1
9.5                 1
9.75                 1
10                 1
10.25                 1
10.5                 1
10.75                 0.980392
11                 0.990099
11.25                 0.934579
11.5                 0.840336
11.75                 0.735294
12                 0.666667
12.25                 0.510204
12.5                 0.361011
12.75                 0.342466
13                 0.22779
13.25                 0.166389
13.5                 0.0919118
13.75                 0.0604595
14                 0.0404858
14.25                 0.019216
14.5                 0.0078376
14.75                 0.00358526
15                 0.00093314
15.25                 0.000297258
15.5                 6.57493e-005
