The following result corresponding the input file : input_file_q_ary_2013.txt
  SNR                         SER 
6                 0.807143
6.25                 0.794762
6.5                 0.788889
6.75                 0.780952
7                 0.76873
7.25                 0.763333
7.5                 0.744921
7.75                 0.749365
8                 0.738254
8.25                 0.720952
8.5                 0.706508
8.75                 0.695714
9                 0.685714
9.25                 0.669841
9.5                 0.652857
9.75                 0.648889
10                 0.631429
10.25                 0.631429
10.5                 0.61
10.75                 0.570962
11                 0.554141
11.25                 0.520249
11.5                 0.461251
11.75                 0.396592
12                 0.364233
12.25                 0.282151
12.5                 0.204
12.75                 0.197597
13                 0.140543
13.25                 0.109289
13.5                 0.0634921
13.75                 0.0431758
14                 0.0294711
14.25                 0.0141832
14.5                 0.00585208
14.75                 0.00272536
15                 0.000695856
15.25                 0.000224076
15.5                 4.8571e-005
